Squarefree monomial ideals in 5 variables up to relabeling
Total representatives: 210

1: ()   (0)
2: ((),)   (1)
3: ((1,),)   (x1)
4: ((1, 2),)   (x1*x2)
5: ((1, 2, 3),)   (x1*x2*x3)
6: ((1, 2, 3, 4),)   (x1*x2*x3*x4)
7: ((1, 2, 3, 4, 5),)   (x1*x2*x3*x4*x5)
8: ((1,), (2,))   (x1, x2)
9: ((1,), (2, 3))   (x1, x2*x3)
151: ((1, 2), (1, 3), (2, 3), (1, 4), (2, 4), (3, 5))   (x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x3*x5)
152: ((1, 2), (1, 3), (2, 3), (1, 4), (2, 4), (3, 4, 5))   (x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x3*x4*x5)
153: ((1, 2), (1, 3), (2, 3), (1, 4), (1, 5), (4, 5))   (x1*x2, x1*x3, x2*x3, x1*x4, x1*x5, x4*x5)
154: ((1, 2), (1, 3), (2, 3), (1, 4), (1, 5), (2, 4, 5))   (x1*x2, x1*x3, x2*x3, x1*x4, x1*x5, x2*x4*x5)
155: ((1, 2), (1, 3), (2, 3), (1, 4), (2, 5), (4, 5))   (x1*x2, x1*x3, x2*x3, x1*x4, x2*x5, x4*x5)
156: ((1, 2), (1, 3), (2, 3), (1, 4), (2, 5), (3, 4, 5))   (x1*x2, x1*x3, x2*x3, x1*x4, x2*x5, x3*x4*x5)
157: ((1, 2), (1, 3), (2, 3), (1, 4), (2, 4, 5), (3, 4, 5))   (x1*x2, x1*x3, x2*x3, x1*x4, x2*x4*x5, x3*x4*x5)
158: ((1, 2), (1, 3), (2, 3), (1, 4, 5), (2, 4, 5), (3, 4, 5))   (x1*x2, x1*x3, x2*x3, x1*x4*x5, x2*x4*x5, x3*x4*x5)
159: ((1, 2), (1, 3), (1, 4), (2, 3, 4), (1, 5), (2, 3, 5))   (x1*x2, x1*x3, x1*x4, x2*x3*x4, x1*x5, x2*x3*x5)
160: ((1, 2), (1, 3), (1, 4), (2, 3, 4), (2, 5), (3, 5))   (x1*x2, x1*x3, x1*x4, x2*x3*x4, x2*x5, x3*x5)
161: ((1, 2), (1, 3), (1, 4), (2, 3, 4), (2, 5), (3, 4, 5))   (x1*x2, x1*x3, x1*x4, x2*x3*x4, x2*x5, x3*x4*x5)
162: ((1, 2), (1, 3), (1, 4), (2, 3, 4), (2, 3, 5), (2, 4, 5))   (x1*x2, x1*x3, x1*x4, x2*x3*x4, x2*x3*x5, x2*x4*x5)
163: ((1, 2), (1, 3), (1, 4), (2, 5), (3, 5), (4, 5))   (x1*x2, x1*x3, x1*x4, x2*x5, x3*x5, x4*x5)
164: ((1, 2), (1, 3), (1, 4), (2, 3, 5), (2, 4, 5), (3, 4, 5))   (x1*x2, x1*x3, x1*x4, x2*x3*x5, x2*x4*x5, x3*x4*x5)
165: ((1, 2), (1, 3), (2, 4), (3, 4), (2, 3, 5), (1, 4, 5))   (x1*x2, x1*x3, x2*x4, x3*x4, x2*x3*x5, x1*x4*x5)
166: ((1, 2), (1, 3), (2, 4), (2, 3, 5), (1, 4, 5), (3, 4, 5))   (x1*x2, x1*x3, x2*x4, x2*x3*x5, x1*x4*x5, x3*x4*x5)
167: ((1, 2), (1, 3), (2, 3, 4), (2, 3, 5), (1, 4, 5), (2, 4, 5))   (x1*x2, x1*x3, x2*x3*x4, x2*x3*x5, x1*x4*x5, x2*x4*x5)
168: ((1, 2), (1, 3), (2, 3, 4), (2, 3, 5), (2, 4, 5), (3, 4, 5))   (x1*x2, x1*x3, x2*x3*x4, x2*x3*x5, x2*x4*x5, x3*x4*x5)
169: ((1, 2), (1, 3), (2, 3, 4), (1, 4, 5), (2, 4, 5), (3, 4, 5))   (x1*x2, x1*x3, x2*x3*x4, x1*x4*x5, x2*x4*x5, x3*x4*x5)
170: ((1, 2), (3, 4), (1, 3, 5), (2, 3, 5), (1, 4, 5), (2, 4, 5))   (x1*x2, x3*x4, x1*x3*x5, x2*x3*x5, x1*x4*x5, x2*x4*x5)
171: ((1, 2), (1, 3, 4), (2, 3, 4), (1, 3, 5), (2, 3, 5), (1, 4, 5))   (x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5, x2*x3*x5, x1*x4*x5)
172: ((1, 2), (1, 3, 4), (2, 3, 4), (1, 3, 5), (2, 3, 5), (3, 4, 5))   (x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5, x2*x3*x5, x3*x4*x5)
173: ((1, 2), (1, 3, 4), (2, 3, 4), (1, 3, 5), (1, 4, 5), (3, 4, 5))   (x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5, x1*x4*x5, x3*x4*x5)
174: ((1, 2), (1, 3, 4), (2, 3, 4), (1, 3, 5), (2, 4, 5), (3, 4, 5))   (x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5, x2*x4*x5, x3*x4*x5)
175: ((1, 2, 3), (1, 2, 4), (1, 3, 4), (2, 3, 4), (1, 2, 5), (1, 3, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x4, x1*x2*x5, x1*x3*x5)
176: ((1, 2, 3), (1, 2, 4), (1, 3, 4), (2, 3, 4), (1, 2, 5), (3, 4, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x4, x1*x2*x5, x3*x4*x5)
177: ((1, 2, 3), (1, 2, 4), (1, 3, 4), (1, 2, 5), (1, 3, 5), (1, 4, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x1*x3*x5, x1*x4*x5)
178: ((1, 2, 3), (1, 2, 4), (1, 3, 4), (1, 2, 5), (1, 3, 5), (2, 4, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x1*x3*x5, x2*x4*x5)
179: ((1, 2, 3), (1, 2, 4), (1, 3, 4), (1, 2, 5), (1, 3, 5), (2, 3, 4, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x1*x3*x5, x2*x3*x4*x5)
180: ((1, 2, 3), (1, 2, 4), (1, 3, 4), (1, 2, 5), (2, 3, 5), (3, 4, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x2*x3*x5, x3*x4*x5)
181: ((1, 2, 3), (1, 2, 4), (1, 3, 4), (2, 3, 5), (2, 4, 5), (3, 4, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x5, x2*x4*x5, x3*x4*x5)
